prompt,response,clauses_text_final,voice,idx,abstraction_score_normalized,reading_ease_normalized,grading_level_normalized
When I am criticized,"I am most likely learning something new about myself, another person or perspective, or I am taking in a situation or circumstance that highlights something important. My most common emotions and reactions from criticism are curiosity, defensiveness, protection, awareness, acceptance and sadness. I choose my response, either by design or default, and I can see when those choices and decisions work for me and for others, and when they don't.  As I reflect and spend more time with the criticism, I sit with and open up to the varying perspectives of any given situation or circumstance, their offerings, and how I might integrate this new understanding moving forward. I enjoy this more when I step away and differentiate from the issue itself, vs. when I feel heavily attached to the outcome, or to my ego. ","['I am most likely learning something new about myself another person or perspective or', 'I am taking in a situation or circumstance', 'that highlights something important', 'My most common emotions and reactions from criticism are curiosity defensiveness protection awareness acceptance and sadness', 'I choose my response either by design or default', 'and I can see', 'when those choices and decisions work for me and for others and', 'when they don t', 'As I reflect and', 'spend more time with the criticism', 'I sit with and', 'open up to the varying perspectives of any given situation or', 'circumstance their offerings and', 'how I might integrate this new understanding', 'moving forward', 'I enjoy this more', 'when I step away and', 'differentiate from the issue itself vs', 'when I feel', 'heavily attached to the outcome or to my ego']","['P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'A_pron_x', 'A_pron_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_pron_x', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_pron_x']",463,"[1.0, 1.0, 0.56, 1.0, 1.0, 1.0, 1.0, 0.56, 1.0, 1.0, 0.88, 1.0, 1.0, 0.88, 0.56, 0.88, 0.88, 0.56, 0.88, 1.0]","[0.2, 0.21, 0.26, 0.33, 0.14, 0.01, 0.12, 0.01, 0.07, 0.1, 0.01, 0.19, 0.26, 0.2, 0.25, 0.07, 0.01, 0.26, 0.01, 0.14]","[0.27, 0.25, 0.27, 0.41, 0.18, 0.02, 0.17, 0.02, 0.09, 0.12, 0.02, 0.24, 0.27, 0.23, 0.26, 0.09, 0.03, 0.29, 0.02, 0.18]"
At times I worry about,"big, big existential questions, and little microscopic ones... sometimes within milliseconds of one another.",['big big existential questions and little microscopic ones sometimes within milliseconds of one another'],['Undefined'],464,[1.0],[0.29],[0.36]
If I can\'t get what I want,"I wait, redirect, try again, collaborate, reevaluate, reflect, redesign, trust in the wisdom of others and the wisdom of time, whine, laugh at myself, meditate, rest... any, all, or none of the above. As my energy, and the intensity of the desire moves over time with resolution, I find peace.","['want', 'I wait', 'redirect try again', 'collaborate reevaluate reflect redesign trust in the wisdom of others and the wisdom of time whine rest any all or none of the above As my energy and the intensity of the desire', 'laugh at myself', 'meditate', 'moves over time with resolution', 'I find peace']","['A_def', 'A_def', 'A_def', 'A_def', 'A_pron_x', 'A_def', 'A_def', 'A_def', 'A_def']",465,"[0.56, 0.88, 1.0, 1.0, 0.56, 0.44, 0.56, 1.0]","[0.0, 0.0, 0.17, 0.17, 0.09, 0.5, 0.16, 0.01]","[0.0, 0.01, 0.18, 0.25, 0.1, 0.5, 0.18, 0.02]"
When people are helpless,"they need support to move forward. ""Helpless"" does not need to be a permanent descriptor, most people are able to be supported to re-direct into a position which plays to their strengths.","['they need support', 'to move forward Helpless', 'does not need to be a permanent descriptor', 'most people are able to be supported to re direct into a position', 'which plays to their strengths']","['A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_get_x', 'A_pron_x']",466,"[0.56, 0.56, 1.0, 1.0, 1.0]","[0.09, 0.13, 0.15, 0.17, 0.01]","[0.1, 0.15, 0.18, 0.23, 0.03]"
A good boss,"is okay, a great leader is even better.","['is okay', 'a great leader is even better']","['P_bevb_x', 'P_bevb_x']",467,"[0.48, 0.56]","[0.0, 0.1]","[0.01, 0.12]"
The past,is best left in the past... Tomorrow presents far more exciting opportunities.,"['is', 'best left in the past Tomorrow', 'presents far more exciting opportunities']","['P_bevb_x', 'A_def', 'A_def']",468,"[0.0, 0.56, 1.0]","[0.0, 0.1, 0.31]","[0.0, 0.12, 0.33]"
Crime and delinquency could be halted if,"there were no humans left on the planet... Where there is good, there is bad... what goes up must come down... we do not live in an idealistic world where everything is perfect. The key is educate people and provide them with the right information to make decisions for themselves.","['there were no humans', 'left on the planet', 'Where there is good', 'there is bad', 'what goes up', 'must come down', 'we do not live in an idealistic world', 'where everything is perfect', 'The key is educate people and', 'provide them with the right information', 'to make decisions for themselves']","['P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def']",469,"[0.56, 0.56, 0.56, 0.56, 0.56, 1.0, 1.0, 1.0, 1.0, 0.56, 1.0]","[0.07, 0.07, 0.01, 0.01, 0.01, 0.01, 0.11, 0.2, 0.14, 0.18, 0.16]","[0.09, 0.09, 0.02, 0.02, 0.02, 0.02, 0.15, 0.21, 0.17, 0.21, 0.18]"
My main problem is,saying no... because I want to be helpful... but I am learning and getting better everyday. This helps me... and it helps the people around me.,"['saying no', 'because I want to be helpful but', 'I am learning and', 'getting better everyday', 'This helps me and', 'it helps the people around me']","['P_yn', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_get_x', 'A_def', 'A_def']",470,"[0.56, 1.0, 0.88, 0.56, 0.56, 0.56]","[0.13, 0.09, 0.07, 0.34, 0.01, 0.06]","[0.13, 0.12, 0.09, 0.35, 0.02, 0.08]"
Change is,"fascinating, unavoidable, somehow always to be sat with. If instigated by me, it typically is planned with many contingencies. If external and slow, I pace with it, shape it. If rapid, I pace with it and influence it where I can. If breakneck, I may elect to exercise my right to press 'pause' and respond when clarity arises.","['fascinating unavoidable somehow always to be sat with', 'If instigated by me', 'it typically is planned with many contingencies', 'If external and slow I pace with it', 'shape it', 'If rapid I pace with it and', 'influence it', 'where I can If breakneck I may elect to exercise my right', 'to press pause and', 'respond', 'when clarity arises']","['P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_pron_x', 'A_pron_x', 'A_def', 'A_def', 'A_def']",471,"[1.0, 0.88, 1.0, 1.0, 0.56, 1.0, 1.0, 1.0, 0.56, 0.56, 1.0]","[0.24, 0.2, 0.23, 0.08, 0.0, 0.02, 0.25, 0.1, 0.01, 0.25, 0.26]","[0.28, 0.21, 0.26, 0.12, 0.01, 0.05, 0.26, 0.15, 0.02, 0.25, 0.27]"
We could make the world a better place if,"we were enabled from birth to see, honour, value, and protect the filaments that connect the universe and underpin all that we are, that we do, that we create. Be, think, practice, speak up, and be caring â€¦ onto-genesis, episteme, phronesis, parrhesis, and reparans.","['we were enabled from birth', 'to see honour value and', 'protect the filaments', 'that connect the universe and', 'underpin all', 'that we are', 'that we do', 'that we create', 'Be think', 'practice speak up and', 'be caring onto genesis episteme phronesis parrhesis and reparans']","['P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x']",472,"[0.56, 0.56, 1.0, 1.0, 0.56, 0.56, 0.56, 1.0, 0.56, 1.0, 1.0]","[0.06, 0.11, 0.26, 0.11, 0.25, 0.01, 0.01, 0.09, 0.0, 0.07, 0.25]","[0.08, 0.13, 0.27, 0.13, 0.26, 0.02, 0.02, 0.1, 0.01, 0.09, 0.29]"
I just can\'t stand people who,are offensive,['who are offensive'],['P_bevb_x'],473,[0.56],[0.17],[0.18]
Privacy,is there for a reason. ,['is there for a reason'],['P_bevb_x'],474,[0.56],[0.06],[0.08]
If my mother,"was a different lady, I would not be who I am. ","['was a different lady', 'I would not be', 'who I am']","['P_bevb_x', 'P_bevb_x', 'P_bevb_x']",475,"[0.56, 0.88, 0.88]","[0.2, 0.01, 0.01]","[0.21, 0.02, 0.02]"
Raising a family,"is not something I have done, but it would be a deep and powerful experience. Owning the compassion and responsibility to a spouse and children. The integrity of holding space through all the highs and lows.","['is not something but', 'I have done', 'it would be a deep and powerful experience', 'Owning the compassion and responsibility to a spouse and children', 'holding space']","['P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def']",476,"[0.56, 0.88, 1.0, 1.0, 1.0]","[0.07, 0.01, 0.18, 0.25, 0.13]","[0.09, 0.02, 0.21, 0.3, 0.13]"
Technology,"grants one the opportunity to experience so many different view points, cultures and ideas. Different levels of technology created books, travel, the internet. All ways of learning, opening to new experiences, expanding out of one's narrow focus.","['grants one the opportunity', 'to experience cultures and ideas Different levels of technology', 'so many different view points', 'created books travel the internet', 'learning opening to new experiences', 'expanding out of one s narrow focus']","['A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_pron_x']",477,"[0.56, 1.0, 0.56, 1.0, 1.0, 1.0]","[0.26, 0.3, 0.11, 0.26, 0.26, 0.16]","[0.27, 0.34, 0.13, 0.28, 0.28, 0.19]"
Education,"comes in many different forms. My own learnings have arisen from both structured and unplanned moments of just living. My awareness and attention to these moments is one of my favorite ways to say I ""love you"" to myself.","['comes in many different forms', 'My own learnings have arisen from both structured and unplanned moments of', 'just living My awareness and attention to these moments', 'is one of my favorite ways', 'to say', 'I love you to myself']","['A_def', 'A_pron_x', 'A_pron_x', 'A_pron_x', 'A_def', 'A_def']",478,"[1.0, 1.0, 0.56, 0.56, 0.0, 0.88]","[0.11, 0.12, 0.16, 0.06, 0.0, 0.06]","[0.13, 0.17, 0.21, 0.08, 0.01, 0.08]"
When I get mad,i lash out in a controlled way but then eventually see reason/both side,"['i lash out in a controlled way but', 'then eventually see reason both side']","['A_def', 'A_def', 'A_def']",479,"[1.0, 0.56]","[0.05, 0.18]","[0.09, 0.21]"
My conscience bothers me if,unfair,['unfair'],['Undefined'],480,[0.56],[0.25],[0.25]
If I were in charge,"I would surround myself in confident, capable people who will support my direction of travel ","['I would surround myself in confident capable people', 'who will support my direction of travel']","['P_bevb_x', 'A_pron_x']",481,"[1.0, 1.0]","[0.24, 0.16]","[0.28, 0.19]"
If I had more money,I would spend more money ,['I would spend more money'],['P_bevb_x'],482,[0.88],[0.06],[0.08]
What gets me into trouble is,"Fear. That's the first thing to come to mind. When faced with a potential conflict, I will either fight or freeze, and each of these get me into trouble. I also think I lack a certain emotional intelligence in real time, so I don't realize that I should employ skillful means to communicate my vision or position. Instead I just foolishly move forward in a politically unwise fashion.","['Fear', 'That s the first thing', 'to come to mind', 'When faced with a potential conflict', 'I will either fight or freeze and', 'each of these get me into trouble', 'I also think', 'I lack a certain emotional intelligence in real time', 'so I don t realize', 'that I should employ skillful means', 'to communicate my vision or position', 'Instead I just foolishly move forward in a politically unwise fashion']","['Undefined', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'A_def']",483,"[0.48, 0.56, 1.0, 1.0, 0.88, 1.0, 0.88, 1.0, 0.88, 0.88, 1.0, 1.0]","[0.0, 0.01, 0.01, 0.14, 0.05, 0.09, 0.09, 0.22, 0.11, 0.1, 0.26, 0.26]","[0.0, 0.03, 0.02, 0.17, 0.09, 0.12, 0.1, 0.26, 0.13, 0.12, 0.29, 0.31]"
Change is,"the shittiest fucking thing ever; I so wish reality was completely static sometimes... at least, so says some part of me, at least right now - the thirst for permanence comes in waves, and it's pretty strong in me today... did I mention I'm wrestling with a couple of big and difficult life changes at the moment?  :-)  This is not representative of how I usually respond to this stem or talk about change, it's just what I'm present to at the moment...","['the shittiest fucking thing ever', 'I so wish', 'reality was completely static sometimes', 'at least so says some part of me', 'at least right now the thirst for permanence comes in waves', 'and it s pretty strong in me today', 'did I mention', 'I m', 'wrestling with a couple of big and difficult life changes at the moment', 'This is not representative of', 'how I usually respond to this stem or', 'talk about change', 'it s just', 'what I m present to at the moment']","['Undefined', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'P_get_x', 'P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'P_get_x']",484,"[1.0, 0.88, 1.0, 0.48, 1.0, 0.56, 0.88, 0.88, 1.0, 0.56, 0.88, 1.0, 0.48, 0.88]","[0.21, 0.01, 0.36, 0.02, 0.08, 0.08, 0.09, 0.0, 0.11, 0.21, 0.11, 0.01, 0.01, 0.05]","[0.23, 0.02, 0.38, 0.06, 0.13, 0.12, 0.1, 0.01, 0.18, 0.23, 0.15, 0.02, 0.02, 0.09]"
These days progress means,letting go while driving forward; finding control in surrender; enjoying connection in autonomy; and playing with too many other polarities and paradoxes to count...,"['letting go', 'letting go', 'while driving forward finding control in surrender', 'enjoying connection in autonomy and', 'playing with too many other polarities and paradoxes', 'to count']","['A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def']",485,"[0.56, 0.56, 1.0, 1.0, 0.56, 1.0]","[0.13, 0.13, 0.23, 0.36, 0.24, 0.0]","[0.13, 0.13, 0.26, 0.38, 0.28, 0.01]"
If my mother,"dies tomorrow, I see how her impact has forever changed the world and will continue to, rippling through time and every system she's touched and every one they touch and will ever touch, and the thing that gets me the most sad is just that no one else will see that impact like I do, and see the unique threads she's weaved in the tapestry of time.","['dies tomorrow', 'I see', 'how her impact has forever changed the world and', 'will continue to rippling through time and every system and every one', 'she s touched', 'they touch and', 'will ever touch and', 'that gets me the most sad', 'the thing is', 'just that no one else will see that impact and', 'like I do', 'see the unique threads', 'she s weaved in the tapestry of time']","['A_def', 'A_def', 'A_pron_x', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_get_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def']",486,"[0.48, 0.88, 1.0, 1.0, 1.0, 1.0, 1.0, 0.56, 0.56, 1.0, 0.88, 0.56, 0.56]","[0.25, 0.0, 0.11, 0.16, 0.01, 0.01, 0.07, 0.01, 0.01, 0.05, 0.01, 0.01, 0.08]","[0.26, 0.01, 0.15, 0.22, 0.02, 0.02, 0.09, 0.04, 0.02, 0.1, 0.02, 0.02, 0.12]"
Raising a family,"is love swimming in all of creation, a living documentary of evolution cascading through consciousness, seemingly an isolated group expressing that from which it came which is at One with the kosmos.","['is', 'love swimming in all of creation a living documentary of an isolated group', 'evolution cascading through consciousness seemingly', 'expressing that', 'from which it came', 'which is at One with the kosmos']","['P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x']",487,"[0.0, 1.0, 1.0, 0.56, 1.0, 1.0]","[0.0, 0.19, 0.41, 0.25, 0.01, 0.05]","[0.0, 0.25, 0.43, 0.26, 0.02, 0.09]"
