response,clauses_text_final,final_score,final_voice
employ useless concentration while dancing with the universe. ,"['employ useless concentration', 'while dancing with the universe']",0.4,A_def
melds with the future to reside in the now -- unformed as well as complete in its bounty. ,['to reside in the now unformed as well as complete in its bounty'],0.17,A_pron_x
"I'd live with different opportunities that would, or may not, open me more, or less..... for now, what is is, and I'm happy with the providence that bathes me in joyous interactions. ","['I d live with different opportunities', 'that would or may not open me more or less for now', 'what is', 'is', 'and I m happy with the providence', 'that bathes me in joyous interactions']",0.3,P_get_x
when I hurt others.,['when I hurt others'],0.1,A_def
"happening all the time, continues and is inevitable. Change for each of us and as a species is product our individual and collective memory of our knowledge and experiences through time. Sometimes the change is thought to be external to ourselves, sometimes it is viewed to be caused by us individually. In some respects change is an illusion of our understanding and experiencing of time. ","['happening', 'all the time continues and', 'is inevitable Change for each of us and', 'as a species is product our individual and collective memory of our knowledge and experiences through time', 'Sometimes the change is thought to be external to ourselves', 'sometimes it is viewed to be caused by us individually', 'In some respects change is an illusion of our understanding and experiencing of time']",0.36,A_def
is a word I relate to less and less. Every moment there is what the body is doing and there is awareness. In awareness the distinctions of work and play and rest seem insignificant.,"['a word', 'I relate to less and less Every moment', 'there is and', 'what the body is doing', 'there is awareness', 'play and rest', 'In awareness the distinctions of work and seem insignificant']",0.21,A_def
is most often a pleasure and fascinating experience of seeing a completely different version of Self.,"['is most often a pleasure and fascinating experience of', 'seeing a completely different version of Self']",0.3,A_def
invite others to the feast.,['invite others to the feast'],0.21,A_def
are creating a better  and fulfilling potential for not only the individuals we interact with but also ourselves as we open to our full potential and see what maybe limiting our ability to be truly here and ourselves. We are endeavouring to support ourselves from within and to feel the support that is available to us.,"['creating a better and fulfilling potential for not only the individuals and', 'we interact with but also ourselves', 'as we open to our full potential and', 'see', 'what maybe limiting our ability', 'to be truly here', 'ourselves We are endeavouring to support ourselves from within and', 'to feel the support', 'that is available to us']",0.25,A_def
"was more like me - I imagine we would be closer.
was more accepting of my preference for a vegan diet - I would really appreciate that
drank - perhaps we could have a wine together and a chat as friends
could love herself and not be so much of a people pleaser - I would relate to her better","['was more like me', 'I imagine', 'we would be closer', 'was more accepting of my preference for a vegan diet', 'I would really appreciate', 'that drank perhaps we could have a wine together and a chat', 'as friends could love herself and', 'not be so much of a people pleaser', 'I would relate to her better']",0.3,A_def
"for not keeping in contact with people that are special to me, not picking up the phone enough to say hi how are you?","['for', 'not keeping in contact with people', 'that are special to me', 'not picking up the phone enough to say hi', 'how are you']",0.23,A_def
its crazy and i wish i could keep up,"['i wish', 'i could keep up']",0.07,A_def
